Product Name,Product URL,Product Price,Rating,Number of Reviews
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ,899,4.3,4.3
"AirCase Sleeve Messenger Bag with Handle & Detachable Shoulder Strap |for Upto 14"" Laptop/ MacBook | 3-in-1 use | 3 Zippered Spacious Pockets | Durable Nylon Padded Fabric, for Men & Women (Black)",/AirCase-C17-Laptop-Sleeve-Handle/dp/B07FJV79CX,778,4.1,4.1
"Luv Lap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP,569,4.4,4.4
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,440,3.9,3.9
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Nevy Blue,/DZert-Girls-Polyester-White-Backpack/dp/B07H1BPCGQ,339,3.8,3.8
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop 25 L Travel Bag for Men, Dark Grey",/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ,"1,946",4.4,4.4
SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler,/SBCOLLECTION-Premium-Backpack-Water-Resistance-Business/dp/B0BXL5B1J4,229,4.5,4.5
Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,474.,3.9,3.9
Genie Plaids 19 Maroon Backpack Collection,/Genie-Plaids-Latest-Backpack-Collection/dp/B0893ZWXQJ,"1,099",4.3,4.3
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",/uppercase-Backpack-2500EBP1-resistant-sustainable/dp/B0BTDB674X,"1,700",4.1,4.1
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758,"1,075",4.3,4.3
"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N,"1,025",4.2,4.2
Tinytot School Bag School Backpack College Backpack Travel Backpack Office Backpack Multipurpose Backpack Picnic Bag for Boys & Girls,/Tinytot-School-Backpack-College-Multipurpose/dp/B09C5J2MN7,589,4.3,4.3
ADISA Laptop Backpack 31 Ltrs,/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3F1G7T,499,4.0,4.0
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q,498,4.3,4.3
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1,"1,671",4.3,4.3
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure",/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1,"1,671",4.3,4.3
"Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,Black",/Expandable-Backpack-Water-resistant-Business-Charging/dp/B0B6FNB898,"3,324",4.2,4.2
Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,"1,895",4.3,4.3
Red Lemon Polyester Bange Series 15.6inch Laptop Bag for Men 35 LTR Capacity Daily Office Bag for Men and Women Black (1903),/Red-Lemon-Polyester-15-6-inch-Waterproof/dp/B07XYY2FW4,"2,849",4.2,4.2
Baggit Women's Sling Bag - S1 (Green),/Baggit-Womens-Satchel-Handbag-Green/dp/B098TJWT8K,679,4.0,4.0
Tommy Hilfiger Alaska Polyester 24 Ltrs Navy Laptop Backpack (8903496078688),/Tommy-Hilfiger-Polyester-Backpack-8903496078688/dp/B01FPNYO0S,"1,949",4.0,4.0
Li-Ning Panther Double Zipper Polyester Badminton Kit Bag,/gp/bestsellers/sports/3403740031/ref=sr_bs_7_3403740031_1,999,4.3,4.3
"Golden Wolf Backpack 35L Expandable Travel Backpack for Men and Women Anti-theft Laptop Bag with Lock Water-resistant Convertible Backpack with USB Port Travel Business College Bag for Men,Black",/Anti-Theft-Backpack-Expandable-Water-resistant-Convertible/dp/B0B6FZ3YNV,"2,564",4.4,4.4
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB,"1,030",4.4,4.4
Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags,/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S,758,3.4,3.4
URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/ Travel/ Business/ College/ School (Black),/Business-Casual-Compartment-Resistant-Backpack/dp/B08N6HSJJ5,719,4.0,4.0
F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C,981.,4.4,4.4
"Amazon Basics - Laptop Backpack/College Bag/Travel Bag for 15.6-inch Laptop, Water-Resistant, Casual",/Amazon-Basics-Professional-Backpack-15-inch-Laptop/dp/B09W4WB3K5,"1,349",3.5,3.5
F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5,"1,168",4.4,4.4
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,449,4.2,4.2
LL LEATHER LAND DESIGNER BAGS Women Sling Bag,/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD,299,4.0,4.0
Nivia Polyester String Bag,/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM,149,4.1,4.1
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B08BYQZYYC,"1,349",4.3,4.3
"Red Lemon BANGE Cyborg Laptop Backpack for Men Business Travelling Backpack with USB Charger Port,Weekender Carry-On laptop bag for men",/Red-Lemon-Backpack-Travelling-Weekender/dp/B0B9WX3QD8,"2,999",4.2,4.2
Skybags Network Pro 26L Unisex Blue Laptop Bags,/Skybags-Network-Unisex-Blue-Laptop/dp/B0B4DTMVXY,"2,999",4.1,4.1
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,599,4.4,4.4
"Space Full School and Laptop Bag, Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping (Black Color, Pack Of 1)",/Polyester-Bagpack-Spacious-Shoulder-Travelling/dp/B0BLHBD7N6,399,5.0,5.0
Large 26L Ace Laptop Backpack Laptop Bag | Office Bag With USB Charging Port | College Bag,/Ace-Laptop-Backpack-Charging-College/dp/B09ZB5HGWB,569,4.0,4.0
"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags with Reinforced Handles (40x20x33-cm, Green)",/Storite-Grocery-Shopping-Reinforced-40x20x33-cm/dp/B079T66RBW,519,4.3,4.3
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,929,4.0,4.0
"AirCase Office Sling Messenger Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel, Black- With Warranty",/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG,"1,451",3.8,3.8
F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,986,4.0,4.0
"HOUSAI: pack of 30 Plain white Paper Bags with Twisted Handles Suits in Gifting, Shopping & Food Packing, W/G/H = 8.5""X4""X11.5"" inch (Small)",/HOUSAI-Twisted-Handles-Gifting-Shopping/dp/B09NW23HSV,558,3.9,3.9
"SKYTONE Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (Pink)",/SKYTONE-Cosmetic-Bag-Cosmetics-Organizer/dp/B0BV358QKF,749,3.6,3.6
"Arctic Hunter Laptop Backpack, Premium Business Backpack Office Travel Laptop Bag with 15.6-inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Thick, Large Capacity Padded Backpack for Men and Women",/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,"5,699",4.3,4.3
Nivia 5177RD Polyester String Bag (Red),/Nivia-5177RD-Polyester-String-Bag/dp/B07NNJKQQY,249,4.0,4.0
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",/AirCase-Backpack-Lightweight-Waterproof-Spacious/dp/B0BS3QJNKT,929,2.7,2.7
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F,629,3.6,3.6
EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,/EUME-Alexis-Backpack-Resistance-15-6-inch/dp/B0BN5DYQSK,"2,449",4.3,4.3
"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5,675,4.4,4.4
wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black),/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ,"2,999",4.4,4.4
F Gear Sedna 27 Liters Laptop Backpack Sch Bag(Brown),/F-Gear-Sedna-Laptop-Backpack-Brown/dp/B072N83D9M,926,4.1,4.1
Wildcraft WC 1 Cracks Backpack Red (11910),/Wildcraft-Cracks-Backpack-Red-11910/dp/B0837H9XSY,"1,199",3.9,3.9
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brushwood | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",/Hammonds-Flycatcher-Genuine-Brushwood-Messenger/dp/B0916G3WW7,"3,099",4.2,4.2
"Skybags Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",/Skybags-Arthur-Laptop-Backpack-Grey/dp/B07SRFGK6H,"1,489",3.9,3.9
Pinklips Shopping Blackpink Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_777,/Pinklips-Shopping-Blackpink-Laptop-Backpack/dp/B0B7DL5GMY,"1,399",4.2,4.2
Skybags New Neon 30 L Backpack (Purple),/Skybags-New-Neon-Backpack-Purple/dp/B07SRHCF9R,999,4.3,4.3
"PUJI Travel Duffel Bag, overnight shoulder Bag, weekender carry on for women, Women's travel bags Shoulder Weekender Overnight Bag for Women, sports Gym Bag, Sports Tote Gym Bag, workout duffel bag (SIMPLE BAG)( Multicolor )",/PUJI-Bag-overnight-weekender-Multicolor/dp/B0B3RTVM2J,559,3.8,3.8
"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1,950,4.2,4.2
